Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
liechtenstein,europe,38139.0,89,1980.5,1.0,300.0,85.0,1706.0,3.0,534.3934426229508,2334.0,26.0,900.0,23598.0,europe
belize,north america,398312.0,86,1980.5,2.0,300.0,31.0,1706.0,53.0,2.0,216.0,5.0,3679.0,9236.0,americas
french polynesia,australia/oceania,281072.0,64,1980.5,3792.590425531915,300.0,62.0,1706.0,2.0,534.3934426229508,228.0,98.68117647058824,5849.0,20810.0,unknown
st. vincent grenadines,north america,110976.0,56,1980.5,3792.590425531915,300.0,46.0,1706.0,10.0,534.3934426229508,505.0,98.68117647058824,2447.0,22050.0,unknown
saint martin,north america,38729.0,53,1980.5,3.0,300.0,41.0,1706.0,9.0,1.0,1368.0,77.0,1183.0,30546.0,unknown
macao,asia,650193.0,46,1980.5,3792.590425531915,300.0,46.0,1706.0,0.0,534.3934426229508,71.0,98.68117647058824,4071.0,6261.0,unknown
curaçao,north america,164161.0,31,1980.5,1.0,300.0,28.0,1706.0,2.0,534.3934426229508,189.0,6.0,1080.0,6579.0,unknown
fiji,australia/oceania,897095.0,27,1980.5,1.0,300.0,18.0,1706.0,8.0,534.3934426229508,30.0,1.0,6693.0,7461.0,westernpacific
saint lucia,north america,183712.0,25,1980.5,3792.590425531915,300.0,24.0,1706.0,1.0,534.3934426229508,136.0,98.68117647058824,3895.0,21202.0,americas
timor-leste,asia,1320812.0,25,1980.5,3792.590425531915,300.0,24.0,1706.0,1.0,534.3934426229508,19.0,98.68117647058824,4238.0,3209.0,south-eastasia
grenada,north america,112576.0,24,1980.5,3792.590425531915,300.0,23.0,1706.0,1.0,534.3934426229508,213.0,98.68117647058824,6252.0,55536.0,americas
new caledonia,australia/oceania,285769.0,22,1980.5,3792.590425531915,300.0,22.0,1706.0,0.0,534.3934426229508,77.0,98.68117647058824,11099.0,38839.0,unknown
laos,asia,7285750.0,20,1980.5,3792.590425531915,300.0,19.0,1706.0,1.0,534.3934426229508,3.0,98.68117647058824,29374.0,4032.0,westernpacific
dominica,north america,72004.0,18,1980.5,3792.590425531915,300.0,18.0,1706.0,0.0,534.3934426229508,250.0,98.68117647058824,1005.0,13958.0,americas
saint kitts and nevis,north america,53237.0,17,1980.5,3792.590425531915,300.0,16.0,1706.0,1.0,534.3934426229508,319.0,98.68117647058824,1146.0,21526.0,americas
greenland,north america,56780.0,14,1980.5,3792.590425531915,300.0,14.0,1706.0,0.0,534.3934426229508,247.0,98.68117647058824,5977.0,105266.0,europe
montserrat,north america,4992.0,13,1980.5,1.0,300.0,10.0,1706.0,2.0,534.3934426229508,2604.0,200.0,61.0,12220.0,unknown
caribbean netherlands,north america,26247.0,13,1980.5,3792.590425531915,300.0,7.0,1706.0,6.0,534.3934426229508,495.0,98.68117647058824,424.0,16154.0,unknown
falkland islands,south america,3489.0,13,1980.5,3792.590425531915,300.0,13.0,1706.0,0.0,534.3934426229508,3726.0,98.68117647058824,1816.0,520493.0,unknown
vatican city,europe,801.0,12,1980.5,3792.590425531915,300.0,12.0,1706.0,0.0,534.3934426229508,14981.0,98.68117647058824,1402404.7015706806,83959.3664921466,europe
western sahara,africa,598682.0,10,1980.5,1.0,300.0,8.0,1706.0,1.0,534.3934426229508,17.0,2.0,1402404.7015706806,83959.3664921466,africa
